"STATISTIC Label","Year","Type of Cattle","Region and County","UNIT","VALUE"
"Number of Cattle in June","2015","Cows","Clare","000 Head","104.4"
"Number of Cattle in June","2015","Cows","Limerick","000 Head","148.6"
"Number of Cattle in June","2015","Cows","Tipperary","000 Head","210.1"
"Number of Cattle in June","2015","Cows","South-East","000 Head","334.9"
"Number of Cattle in June","2015","Cows","Carlow","000 Head","30.3"
"Number of Cattle in June","2015","Cows","Kilkenny","000 Head","110.7"
"Number of Cattle in June","2015","Cows","Wexford","000 Head","97.7"
"Number of Cattle in June","2015","Cows","Waterford","000 Head","96.3"
"Number of Cattle in June","2015","Cows","South-West","000 Head","566.1"
"Number of Cattle in June","2015","Cows","Cork","000 Head","421.4"
"Number of Cattle in June","2015","Cows","Kerry","000 Head","144.6"
"Number of Cattle in June","2015","Cows","Eastern and Midland","000 Head","433.1"
"Number of Cattle in June","2015","Cows","Dublin","000 Head","6.9"
"Number of Cattle in June","2015","Cows","Dublin and Mid-East","000 Head","203.2"
"Number of Cattle in June","2015","Cows","Kildare","000 Head","35.1"
"Number of Cattle in June","2015","Cows","Louth","000 Head","26.4"
"Number of Cattle in June","2015","Cows","Meath","000 Head","92.4"
"Number of Cattle in June","2015","Cows","Wicklow","000 Head","42.3"
"Number of Cattle in June","2015","Cows","Midland","000 Head","229.8"
"Number of Cattle in June","2015","Cows","Laois","000 Head","69.6"
"Number of Cattle in June","2015","Cows","Longford","000 Head","35.8"
"Number of Cattle in June","2015","Cows","Offaly","000 Head","59.3"
"Number of Cattle in June","2015","Cows","Westmeath","000 Head","65.2"
"Number of Cattle in June","2015","Dairy cows","State","000 Head","1295.8"
"Number of Cattle in June","2015","Dairy cows","Northern and Western","000 Head","155"
"Number of Cattle in June","2015","Dairy cows","Border","000 Head","99.2"
"Number of Cattle in June","2015","Dairy cows","Leitrim","000 Head","2.1"
"Number of Cattle in June","2015","Dairy cows","Sligo","000 Head","8.1"
"Number of Cattle in June","2015","Dairy cows","Cavan","000 Head","35.8"
"Number of Cattle in June","2015","Dairy cows","Donegal","000 Head","18.9"
"Number of Cattle in June","2015","Dairy cows","Monaghan","000 Head","34.4"
"Number of Cattle in June","2015","Dairy cows","West","000 Head","55.8"
"Number of Cattle in June","2015","Dairy cows","Galway","000 Head","31.2"
"Number of Cattle in June","2015","Dairy cows","Mayo","000 Head","17.8"
"Number of Cattle in June","2015","Dairy cows","Roscommon","000 Head","6.8"
"Number of Cattle in June","2015","Dairy cows","Southern","000 Head","943.5"
"Number of Cattle in June","2015","Dairy cows","Mid-West","000 Head","286.6"
"Number of Cattle in June","2015","Dairy cows","Clare","000 Head","30.7"
"Number of Cattle in June","2015","Dairy cows","Limerick","000 Head","109.7"
"Number of Cattle in June","2015","Dairy cows","Tipperary","000 Head","146.3"
"Number of Cattle in June","2015","Dairy cows","South-East","000 Head","219.6"
"Number of Cattle in June","2015","Dairy cows","Carlow","000 Head","12.9"
"Number of Cattle in June","2015","Dairy cows","Kilkenny","000 Head","73.1"
"Number of Cattle in June","2015","Dairy cows","Wexford","000 Head","62.1"
"Number of Cattle in June","2015","Dairy cows","Waterford","000 Head","71.4"
"Number of Cattle in June","2015","Dairy cows","South-West","000 Head","437.4"
"Number of Cattle in June","2015","Dairy cows","Cork","000 Head","339.5"
"Number of Cattle in June","2015","Dairy cows","Kerry","000 Head","97.9"
"Number of Cattle in June","2015","Dairy cows","Eastern and Midland","000 Head","197.3"
"Number of Cattle in June","2015","Dairy cows","Dublin","000 Head","2.9"
"Number of Cattle in June","2015","Dairy cows","Dublin and Mid-East","000 Head","103.9"
"Number of Cattle in June","2015","Dairy cows","Kildare","000 Head","14"
"Number of Cattle in June","2015","Dairy cows","Louth","000 Head","14.3"
"Number of Cattle in June","2015","Dairy cows","Meath","000 Head","53.4"
"Number of Cattle in June","2015","Dairy cows","Wicklow","000 Head","19.3"
"Number of Cattle in June","2015","Dairy cows","Midland","000 Head","93.3"
"Number of Cattle in June","2015","Dairy cows","Laois","000 Head","35.5"
"Number of Cattle in June","2015","Dairy cows","Longford","000 Head","8.9"
"Number of Cattle in June","2015","Dairy cows","Offaly","000 Head","25.6"
"Number of Cattle in June","2015","Dairy cows","Westmeath","000 Head","23.3"
"Number of Cattle in June","2015","Other cows","State","000 Head","1075.8"
"Number of Cattle in June","2015","Other cows","Northern and Western","000 Head","419.5"
"Number of Cattle in June","2015","Other cows","Border","000 Head","177.6"
"Number of Cattle in June","2015","Other cows","Leitrim","000 Head","25.4"
"Number of Cattle in June","2015","Other cows","Sligo","000 Head","31.8"
"Number of Cattle in June","2015","Other cows","Cavan","000 Head","45.5"
"Number of Cattle in June","2015","Other cows","Donegal","000 Head","42"
"Number of Cattle in June","2015","Other cows","Monaghan","000 Head","32.8"
"Number of Cattle in June","2015","Other cows","West","000 Head","241.9"
"Number of Cattle in June","2015","Other cows","Galway","000 Head","105.3"
"Number of Cattle in June","2015","Other cows","Mayo","000 Head","79.4"
"Number of Cattle in June","2015","Other cows","Roscommon","000 Head","57.2"
"Number of Cattle in June","2015","Other cows","Southern","000 Head","420.6"
"Number of Cattle in June","2015","Other cows","Mid-West","000 Head","176.5"
"Number of Cattle in June","2015","Other cows","Clare","000 Head","73.7"
"Number of Cattle in June","2015","Other cows","Limerick","000 Head","39"
"Number of Cattle in June","2015","Other cows","Tipperary","000 Head","63.8"
"Number of Cattle in June","2015","Other cows","South-East","000 Head","115.3"
"Number of Cattle in June","2015","Other cows","Carlow","000 Head","17.3"
"Number of Cattle in June","2015","Other cows","Kilkenny","000 Head","37.6"
"Number of Cattle in June","2015","Other cows","Wexford","000 Head","35.5"
"Number of Cattle in June","2015","Other cows","Waterford","000 Head","24.9"
"Number of Cattle in June","2015","Other cows","South-West","000 Head","128.7"
"Number of Cattle in June","2015","Other cows","Cork","000 Head","82"
"Number of Cattle in June","2015","Other cows","Kerry","000 Head","46.8"
"Number of Cattle in June","2015","Other cows","Eastern and Midland","000 Head","235.8"
"Number of Cattle in June","2015","Other cows","Dublin","000 Head","4"
"Number of Cattle in June","2015","Other cows","Dublin and Mid-East","000 Head","99.3"
"Number of Cattle in June","2015","Other cows","Kildare","000 Head","21.2"
"Number of Cattle in June","2015","Other cows","Louth","000 Head","12.1"
"Number of Cattle in June","2015","Other cows","Meath","000 Head","39.1"
"Number of Cattle in June","2015","Other cows","Wicklow","000 Head","23"
"Number of Cattle in June","2015","Other cows","Midland","000 Head","136.5"
"Number of Cattle in June","2015","Other cows","Laois","000 Head","34.1"
"Number of Cattle in June","2015","Other cows","Longford","000 Head","26.9"
"Number of Cattle in June","2015","Other cows","Offaly","000 Head","33.6"
"Number of Cattle in June","2015","Other cows","Westmeath","000 Head","41.9"
"Number of Cattle in June","2015","Bulls","State","000 Head","55.7"
"Number of Cattle in June","2015","Bulls","Northern and Western","000 Head","18.1"
"Number of Cattle in June","2015","Bulls","Border","000 Head","8.5"
"Number of Cattle in June","2015","Bulls","Leitrim","000 Head","1.1"
"Number of Cattle in June","2015","Bulls","Sligo","000 Head","1.1"
"Number of Cattle in June","2015","Bulls","Cavan","000 Head","2.3"
"Number of Cattle in June","2015","Bulls","Donegal","000 Head","2"
"Number of Cattle in June","2015","Bulls","Monaghan","000 Head","1.9"
"Number of Cattle in June","2015","Bulls","West","000 Head","9.6"
"Number of Cattle in June","2015","Bulls","Galway","000 Head","4.3"
"Number of Cattle in June","2015","Bulls","Mayo","000 Head","3"
"Number of Cattle in June","2015","Bulls","Roscommon","000 Head","2.3"
"Number of Cattle in June","2015","Bulls","Southern","000 Head","27"
"Number of Cattle in June","2015","Bulls","Mid-West","000 Head","10.3"
"Number of Cattle in June","2015","Bulls","Clare","000 Head","3.5"
"Number of Cattle in June","2015","Bulls","Limerick","000 Head","2.8"
"Number of Cattle in June","2015","Bulls","Tipperary","000 Head","4"
"Number of Cattle in June","2015","Bulls","South-East","000 Head","6.4"
"Number of Cattle in June","2015","Bulls","Carlow","000 Head","0.8"
"Number of Cattle in June","2015","Bulls","Kilkenny","000 Head","2.1"
"Number of Cattle in June","2015","Bulls","Wexford","000 Head","1.9"
"Number of Cattle in June","2015","Bulls","Waterford","000 Head","1.6"
"Number of Cattle in June","2015","Bulls","South-West","000 Head","10.3"
"Number of Cattle in June","2015","Bulls","Cork","000 Head","7.2"
"Number of Cattle in June","2015","Bulls","Kerry","000 Head","3.1"
"Number of Cattle in June","2015","Bulls","Eastern and Midland","000 Head","10.6"
"Number of Cattle in June","2015","Bulls","Dublin","000 Head","0.2"
"Number of Cattle in June","2015","Bulls","Dublin and Mid-East","000 Head","4.5"
"Number of Cattle in June","2015","Bulls","Kildare","000 Head","1"
"Number of Cattle in June","2015","Bulls","Louth","000 Head","0.6"
"Number of Cattle in June","2015","Bulls","Meath","000 Head","1.8"
"Number of Cattle in June","2015","Bulls","Wicklow","000 Head","1.1"
"Number of Cattle in June","2015","Bulls","Midland","000 Head","6"
"Number of Cattle in June","2015","Bulls","Laois","000 Head","1.7"
"Number of Cattle in June","2015","Bulls","Longford","000 Head","1.2"
"Number of Cattle in June","2015","Bulls","Offaly","000 Head","1.5"
"Number of Cattle in June","2015","Bulls","Westmeath","000 Head","1.6"
"Number of Cattle in June","2015","Cattle: 2 years and over","State","000 Head","801.7"
"Number of Cattle in June","2015","Cattle: 2 years and over","Northern and Western","000 Head","204"
"Number of Cattle in June","2015","Cattle: 2 years and over","Border","000 Head","82.6"
"Number of Cattle in June","2015","Cattle: 2 years and over","Leitrim","000 Head","5.4"
"Number of Cattle in June","2015","Cattle: 2 years and over","Sligo","000 Head","13"
"Number of Cattle in June","2015","Cattle: 2 years and over","Cavan","000 Head","22.1"
"Number of Cattle in June","2015","Cattle: 2 years and over","Donegal","000 Head","17.1"
"Number of Cattle in June","2015","Cattle: 2 years and over","Monaghan","000 Head","25.1"
"Number of Cattle in June","2015","Cattle: 2 years and over","West","000 Head","121.4"
"Number of Cattle in June","2015","Cattle: 2 years and over","Galway","000 Head","58.4"
"Number of Cattle in June","2015","Cattle: 2 years and over","Mayo","000 Head","33.3"
"Number of Cattle in June","2015","Cattle: 2 years and over","Roscommon","000 Head","29.7"
"Number of Cattle in June","2015","Cattle: 2 years and over","Southern","000 Head","372.5"
"Number of Cattle in June","2015","Cattle: 2 years and over","Mid-West","000 Head","158.9"
"Number of Cattle in June","2015","Cattle: 2 years and over","Clare","000 Head","31.3"
"Number of Cattle in June","2015","Cattle: 2 years and over","Limerick","000 Head","47.8"
"Number of Cattle in June","2015","Cattle: 2 years and over","Tipperary","000 Head","79.8"
"Number of Cattle in June","2015","Cattle: 2 years and over","South-East","000 Head","98.2"
"Number of Cattle in June","2015","Cattle: 2 years and over","Carlow","000 Head","11.1"
"Number of Cattle in June","2015","Cattle: 2 years and over","Kilkenny","000 Head","37.5"
"Number of Cattle in June","2015","Cattle: 2 years and over","Wexford","000 Head","25.7"
"Number of Cattle in June","2015","Cattle: 2 years and over","Waterford","000 Head","23.9"
"Number of Cattle in June","2015","Cattle: 2 years and over","South-West","000 Head","115.5"
"Number of Cattle in June","2015","Cattle: 2 years and over","Cork","000 Head","87.6"
"Number of Cattle in June","2015","Cattle: 2 years and over","Kerry","000 Head","27.9"
"Number of Cattle in June","2015","Cattle: 2 years and over","Eastern and Midland","000 Head","225.1"
"Number of Cattle in June","2015","Cattle: 2 years and over","Dublin","000 Head","4.1"
"Number of Cattle in June","2015","Cattle: 2 years and over","Dublin and Mid-East","000 Head","108.8"
"Number of Cattle in June","2015","Cattle: 2 years and over","Kildare","000 Head","24.9"
"Number of Cattle in June","2015","Cattle: 2 years and over","Louth","000 Head","15.3"
"Number of Cattle in June","2015","Cattle: 2 years and over","Meath","000 Head","52.3"
"Number of Cattle in June","2015","Cattle: 2 years and over","Wicklow","000 Head","12.2"
"Number of Cattle in June","2015","Cattle: 2 years and over","Midland","000 Head","116.3"
"Number of Cattle in June","2015","Cattle: 2 years and over","Laois","000 Head","31.9"
"Number of Cattle in June","2015","Cattle: 2 years and over","Longford","000 Head","15.9"
"Number of Cattle in June","2015","Cattle: 2 years and over","Offaly","000 Head","33.3"
"Number of Cattle in June","2015","Cattle: 2 years and over","Westmeath","000 Head","35.2"
"Number of Cattle in June","2015","Cattle male: 2 years and over","State","000 Head","417.3"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Northern and Western","000 Head","88.3"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Border","000 Head","32.1"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Leitrim","000 Head","1"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Sligo","000 Head","4.8"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Cavan","000 Head","8.5"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Donegal","000 Head","6.9"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Monaghan","000 Head","10.9"
"Number of Cattle in June","2015","Cattle male: 2 years and over","West","000 Head","56.2"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Galway","000 Head","28.5"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Mayo","000 Head","13.9"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Roscommon","000 Head","13.9"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Southern","000 Head","209.1"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Mid-West","000 Head","94.7"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Clare","000 Head","16"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Limerick","000 Head","27.7"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Tipperary","000 Head","51.1"
"Number of Cattle in June","2015","Cattle male: 2 years and over","South-East","000 Head","55.4"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Carlow","000 Head","5.7"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Kilkenny","000 Head","23.7"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Wexford","000 Head","12"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Waterford","000 Head","14"
"Number of Cattle in June","2015","Cattle male: 2 years and over","South-West","000 Head","59"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Cork","000 Head","46.8"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Kerry","000 Head","12.1"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Eastern and Midland","000 Head","119.8"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Dublin","000 Head","1.7"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Dublin and Mid-East","000 Head","59.2"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Kildare","000 Head","16"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Louth","000 Head","8.2"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Meath","000 Head","28"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Wicklow","000 Head","5.3"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Midland","000 Head","60.6"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Laois","000 Head","18.3"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Longford","000 Head","8.4"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Offaly","000 Head","16.8"
"Number of Cattle in June","2015","Cattle male: 2 years and over","Westmeath","000 Head","17.1"
"Number of Cattle in June","2015","Cattle female: 2 years and over","State","000 Head","384.4"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Northern and Western","000 Head","115.7"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Border","000 Head","50.5"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Leitrim","000 Head","4.4"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Sligo","000 Head","8.2"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Cavan","000 Head","13.6"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Donegal","000 Head","10.1"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Monaghan","000 Head","14.2"
"Number of Cattle in June","2015","Cattle female: 2 years and over","West","000 Head","65.2"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Galway","000 Head","30"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Mayo","000 Head","19.4"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Roscommon","000 Head","15.8"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Southern","000 Head","163.4"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Mid-West","000 Head","64.1"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Clare","000 Head","15.3"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Limerick","000 Head","20.1"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Tipperary","000 Head","28.7"
"Number of Cattle in June","2015","Cattle female: 2 years and over","South-East","000 Head","42.7"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Carlow","000 Head","5.4"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Kilkenny","000 Head","13.8"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Wexford","000 Head","13.7"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Waterford","000 Head","9.8"
"Number of Cattle in June","2015","Cattle female: 2 years and over","South-West","000 Head","56.6"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Cork","000 Head","40.8"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Kerry","000 Head","15.8"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Eastern and Midland","000 Head","105.3"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Dublin","000 Head","2.4"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Dublin and Mid-East","000 Head","49.6"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Kildare","000 Head","8.9"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Louth","000 Head","7.1"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Meath","000 Head","24.3"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Wicklow","000 Head","6.9"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Midland","000 Head","55.7"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Laois","000 Head","13.5"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Longford","000 Head","7.4"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Offaly","000 Head","16.6"
"Number of Cattle in June","2015","Cattle female: 2 years and over","Westmeath","000 Head","18.1"
"Number of Cattle in June","2015","Cattle: 1-2 years","State","000 Head","1692.3"
"Number of Cattle in June","2015","Cattle: 1-2 years","Northern and Western","000 Head","399.6"
"Number of Cattle in June","2015","Cattle: 1-2 years","Border","000 Head","182.7"
"Number of Cattle in June","2015","Cattle: 1-2 years","Leitrim","000 Head","9.1"
"Number of Cattle in June","2015","Cattle: 1-2 years","Sligo","000 Head","23.9"
"Number of Cattle in June","2015","Cattle: 1-2 years","Cavan","000 Head","49.2"
"Number of Cattle in June","2015","Cattle: 1-2 years","Donegal","000 Head","47.4"
"Number of Cattle in June","2015","Cattle: 1-2 years","Monaghan","000 Head","53.1"
"Number of Cattle in June","2015","Cattle: 1-2 years","West","000 Head","216.8"
"Number of Cattle in June","2015","Cattle: 1-2 years","Galway","000 Head","104.5"
"Number of Cattle in June","2015","Cattle: 1-2 years","Mayo","000 Head","60.9"
"Number of Cattle in June","2015","Cattle: 1-2 years","Roscommon","000 Head","51.4"
"Number of Cattle in June","2015","Cattle: 1-2 years","Southern","000 Head","890.2"
"Number of Cattle in June","2015","Cattle: 1-2 years","Mid-West","000 Head","323.2"
"Number of Cattle in June","2015","Cattle: 1-2 years","Clare","000 Head","57.6"
"Number of Cattle in June","2015","Cattle: 1-2 years","Limerick","000 Head","92.7"
"Number of Cattle in June","2015","Cattle: 1-2 years","Tipperary","000 Head","172.9"
"Number of Cattle in June","2015","Cattle: 1-2 years","South-East","000 Head","260.3"
"Number of Cattle in June","2015","Cattle: 1-2 years","Carlow","000 Head","27.1"
"Number of Cattle in June","2015","Cattle: 1-2 years","Kilkenny","000 Head","95.4"
"Number of Cattle in June","2015","Cattle: 1-2 years","Wexford","000 Head","76.2"
"Number of Cattle in June","2015","Cattle: 1-2 years","Waterford","000 Head","61.6"
"Number of Cattle in June","2015","Cattle: 1-2 years","South-West","000 Head","306.6"
"Number of Cattle in June","2015","Cattle: 1-2 years","Cork","000 Head","242.6"
"Number of Cattle in June","2015","Cattle: 1-2 years","Kerry","000 Head","64"
"Number of Cattle in June","2015","Cattle: 1-2 years","Eastern and Midland","000 Head","402.6"
"Number of Cattle in June","2015","Cattle: 1-2 years","Dublin","000 Head","5.8"
"Number of Cattle in June","2015","Cattle: 1-2 years","Dublin and Mid-East","000 Head","179.4"
"Number of Cattle in June","2015","Cattle: 1-2 years","Kildare","000 Head","39.6"
"Number of Cattle in June","2015","Cattle: 1-2 years","Louth","000 Head","22.3"
"Number of Cattle in June","2015","Cattle: 1-2 years","Meath","000 Head","83.5"
"Number of Cattle in June","2015","Cattle: 1-2 years","Wicklow","000 Head","28.3"
"Number of Cattle in June","2015","Cattle: 1-2 years","Midland","000 Head","223.2"
"Number of Cattle in June","2015","Cattle: 1-2 years","Laois","000 Head","68"
"Number of Cattle in June","2015","Cattle: 1-2 years","Longford","000 Head","28.3"
"Number of Cattle in June","2015","Cattle: 1-2 years","Offaly","000 Head","69.9"
"Number of Cattle in June","2015","Cattle: 1-2 years","Westmeath","000 Head","57"
"Number of Cattle in June","2015","Cattle male: 1-2 years","State","000 Head","776.8"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Northern and Western","000 Head","179.5"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Border","000 Head","81.1"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Leitrim","000 Head","2.8"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Sligo","000 Head","10.1"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Cavan","000 Head","19.4"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Donegal","000 Head","24.6"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Monaghan","000 Head","24.1"
"Number of Cattle in June","2015","Cattle male: 1-2 years","West","000 Head","98.3"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Galway","000 Head","48.1"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Mayo","000 Head","26.3"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Roscommon","000 Head","24"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Southern","000 Head","405.9"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Mid-West","000 Head","155.7"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Clare","000 Head","26.9"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Limerick","000 Head","42.3"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Tipperary","000 Head","86.5"
"Number of Cattle in June","2015","Cattle male: 1-2 years","South-East","000 Head","125.1"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Carlow","000 Head","13"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Kilkenny","000 Head","49.3"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Wexford","000 Head","35.4"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Waterford","000 Head","27.4"
"Number of Cattle in June","2015","Cattle male: 1-2 years","South-West","000 Head","125.1"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Cork","000 Head","102.6"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Kerry","000 Head","22.5"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Eastern and Midland","000 Head","191.5"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Dublin","000 Head","2.3"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Dublin and Mid-East","000 Head","84.2"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Kildare","000 Head","20.6"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Louth","000 Head","9.7"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Meath","000 Head","40"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Wicklow","000 Head","11.6"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Midland","000 Head","107.3"
"Number of Cattle in June","2015","Cattle male: 1-2 years","Laois","000 Head","36.2"
